CTUID,to_id,travel_time
5350001.00,7792696,78.0
5350001.00,9638452,119.0
5350001.00,54248,
5350001.00,6362828,
5350001.00,9035631,
5350001.00,7754575,76.0
5350001.00,12601202,106.0
5350001.00,504810,110.0
5350001.00,487172,111.0
5350001.00,10553805,107.0
5350001.00,6282913,
5350001.00,7792698,78.0
5350001.00,7762671,76.0
5350001.00,12601206,107.0
5350001.00,6208976,90.0
5350001.00,13498043,77.0
5350001.00,9066243,
5350001.00,9110076,95.0
5350001.00,10757635,107.0
5350001.00,7792695,75.0
5350001.00,773891,73.0
5350001.00,536800,109.0
5350001.00,13501524,115.0
5350001.00,12601205,109.0
5350001.00,20232082,94.0
5350001.00,4628244,102.0
5350001.00,515959,116.0
5350001.00,5158806,106.0
5350001.00,8168605,101.0
5350001.00,1008107,
5350001.00,9086232,90.0
5350001.00,6522400,77.0
5350001.00,6388009,73.0
5350001.00,7754918,105.0
5350001.00,4616608,
5350001.00,7792529,78.0
5350001.00,30063647,113.0
5350001.00,773527,
5350001.00,30033897,
5350001.00,7846745,
5350001.00,9085365,
5350001.00,10736651,
5350001.00,8351485,
5350001.00,831833,
5350001.00,351901,
5350001.00,35502,
5350001.00,8677433,
5350001.00,563174,
5350001.00,7074421,
5350001.00,14120224,
5350001.00,10636558,
5350001.00,516002,
5350001.00,8677303,
5350001.00,514036,
5350001.00,8929220,
5350001.00,64184,
5350001.00,10154312,
5350001.00,30018838,
5350001.00,7195983,
5350001.00,14671849,
5350001.00,10851792,
5350001.00,5724486,
5350001.00,492884,
5350001.00,14077421,
5350001.00,11585136,
5350001.00,7485300,
5350001.00,9544287,
5350001.00,14075312,
5350001.00,7936181,
5350001.00,20230741,
5350001.00,1370827,
5350001.00,3841976,
5350001.00,13970348,
5350001.00,1009105,
5350001.00,13967638,
5350001.00,7531002,
5350001.00,2334782,
5350001.00,11075918,
5350001.00,10258457,
5350001.00,8731605,
5350001.00,4228477,
5350001.00,6727813,
5350001.00,4605082,
5350001.00,10923450,
5350001.00,308303,
5350001.00,982435,
5350001.00,11461965,
5350001.00,485092,
5350001.00,30044947,
5350001.00,856212,
5350001.00,325884,
5350001.00,773205,
5350001.00,8791953,
5350001.00,396133,
5350001.00,8457099,
5350001.00,14120064,
5350001.00,3256200,
5350001.00,9942216,
5350001.00,3232727,
5350001.00,9942219,84.0
5350002.00,7792696,
5350002.00,9638452,
5350002.00,54248,
5350002.00,6362828,
5350002.00,9035631,
5350002.00,7754575,
5350002.00,12601202,
5350002.00,504810,
5350002.00,487172,
5350002.00,10553805,
5350002.00,6282913,
5350002.00,7792698,
5350002.00,7762671,
5350002.00,12601206,
5350002.00,6208976,
5350002.00,13498043,
5350002.00,9066243,
5350002.00,9110076,
5350002.00,10757635,
5350002.00,7792695,
5350002.00,773891,
5350002.00,536800,
5350002.00,13501524,
5350002.00,12601205,
5350002.00,20232082,
5350002.00,4628244,
5350002.00,515959,
5350002.00,5158806,
5350002.00,8168605,
5350002.00,1008107,
5350002.00,9086232,
5350002.00,6522400,
5350002.00,6388009,
5350002.00,7754918,
5350002.00,4616608,
5350002.00,7792529,
5350002.00,30063647,
5350002.00,773527,
5350002.00,30033897,
5350002.00,7846745,
5350002.00,9085365,
5350002.00,10736651,
5350002.00,8351485,
5350002.00,831833,
5350002.00,351901,
5350002.00,35502,
5350002.00,8677433,
5350002.00,563174,
5350002.00,7074421,
5350002.00,14120224,
5350002.00,10636558,
5350002.00,516002,
5350002.00,8677303,
5350002.00,514036,
5350002.00,8929220,
5350002.00,64184,
5350002.00,10154312,
5350002.00,30018838,
5350002.00,7195983,
5350002.00,14671849,
5350002.00,10851792,
5350002.00,5724486,
5350002.00,492884,
5350002.00,14077421,
5350002.00,11585136,
5350002.00,7485300,
5350002.00,9544287,
5350002.00,14075312,
5350002.00,7936181,
5350002.00,20230741,
5350002.00,1370827,
5350002.00,3841976,
5350002.00,13970348,
5350002.00,1009105,
5350002.00,13967638,
5350002.00,7531002,
5350002.00,2334782,
5350002.00,11075918,
5350002.00,10258457,
5350002.00,8731605,
5350002.00,4228477,
5350002.00,6727813,
5350002.00,4605082,
5350002.00,10923450,
5350002.00,308303,
5350002.00,982435,
5350002.00,11461965,
5350002.00,485092,
5350002.00,30044947,
5350002.00,856212,
5350002.00,325884,
5350002.00,773205,
5350002.00,8791953,
5350002.00,396133,
5350002.00,8457099,
5350002.00,14120064,
5350002.00,3256200,
5350002.00,9942216,
5350002.00,3232727,
5350002.00,9942219,
5350003.00,7792696,56.0
5350003.00,9638452,97.0
5350003.00,54248,71.0
5350003.00,6362828,109.0
5350003.00,9035631,94.0
5350003.00,7754575,57.0
5350003.00,12601202,86.0
5350003.00,504810,86.0
5350003.00,487172,81.0
5350003.00,10553805,46.0
5350003.00,6282913,66.0
5350003.00,7792698,54.0
5350003.00,7762671,56.0
5350003.00,12601206,87.0
5350003.00,6208976,70.0
5350003.00,13498043,51.0
5350003.00,9066243,65.0
5350003.00,9110076,56.0
5350003.00,10757635,17.0
5350003.00,7792695,56.0
5350003.00,773891,61.0
5350003.00,536800,86.0
5350003.00,13501524,91.0
5350003.00,12601205,88.0
5350003.00,20232082,31.0
5350003.00,4628244,81.0
5350003.00,515959,89.0
5350003.00,5158806,86.0
5350003.00,8168605,30.0
5350003.00,1008107,86.0
5350003.00,9086232,49.0
5350003.00,6522400,51.0
5350003.00,6388009,66.0
5350003.00,7754918,81.0
5350003.00,4616608,109.0
5350003.00,7792529,56.0
5350003.00,30063647,78.0
5350003.00,773527,
5350003.00,30033897,
5350003.00,7846745,
5350003.00,9085365,
