Unnamed: 0,CTUID,DGUID,CTNAME,LANDAREA,PRUID,total_hospitals_within_30_mins_before,total_hospitals_within_30_mins_after,total_hospitals_within_30_mins_diff
0,5350128.04,2021S05075350128.04,128.04,0.162,35,3.0,5.0,2.0
1,5350363.06,2021S05075350363.06,363.06,0.821,35,2.0,4.0,2.0
2,5350363.07,2021S05075350363.07,363.07,2.2422,35,2.0,3.0,1.0
3,5350378.23,2021S05075350378.23,378.23,1.5314,35,0.0,0.0,0.0
4,5350378.24,2021S05075350378.24,378.24,2.5129,35,0.0,0.0,0.0
5,5350010.01,2021S05075350010.01,10.01,0.2476,35,4.0,6.0,2.0
6,5350010.02,2021S05075350010.02,10.02,0.5382,35,7.0,10.0,3.0
7,5350001.00,2021S05075350001.00,1.0,6.8192,35,0.0,0.0,0.0
8,5350002.00,2021S05075350002.00,2.0,3.3926,35,0.0,0.0,0.0
9,5350003.00,2021S05075350003.00,3.0,0.9455,35,2.0,5.0,3.0
10,5350004.00,2021S05075350004.00,4.0,0.3404,35,3.0,4.0,1.0
11,5350005.00,2021S05075350005.00,5.0,0.3764,35,3.0,6.0,3.0
12,5350006.00,2021S05075350006.00,6.0,0.0129,35,3.0,6.0,3.0
13,5350009.00,2021S05075350009.00,9.0,0.1032,35,4.0,5.0,1.0
14,5350014.00,2021S05075350014.00,14.0,0.4727,35,11.0,13.0,2.0
15,5350015.00,2021S05075350015.00,15.0,0.286,35,11.0,12.0,1.0
16,5350016.00,2021S05075350016.00,16.0,0.6317,35,5.0,6.0,1.0
17,5350018.00,2021S05075350018.00,18.0,0.347,35,1.0,3.0,2.0
18,5350019.00,2021S05075350019.00,19.0,0.2489,35,1.0,4.0,3.0
19,5350020.00,2021S05075350020.00,20.0,0.7287,35,0.0,0.0,0.0
20,5350021.00,2021S05075350021.00,21.0,0.9119,35,0.0,0.0,0.0
21,5350022.00,2021S05075350022.00,22.0,0.5546,35,0.0,0.0,0.0
22,5350023.00,2021S05075350023.00,23.0,0.6863,35,0.0,0.0,0.0
23,5350024.00,2021S05075350024.00,24.0,0.7093,35,0.0,0.0,0.0
24,5350025.00,2021S05075350025.00,25.0,0.5284,35,0.0,0.0,0.0
25,5350026.00,2021S05075350026.00,26.0,0.7772,35,1.0,4.0,3.0
26,5350027.00,2021S05075350027.00,27.0,0.4853,35,1.0,4.0,3.0
27,5350029.00,2021S05075350029.00,29.0,0.6766,35,2.0,5.0,3.0
28,5350030.00,2021S05075350030.00,30.0,0.3807,35,3.0,4.0,1.0
29,5350031.00,2021S05075350031.00,31.0,0.2583,35,10.0,13.0,3.0
30,5350032.00,2021S05075350032.00,32.0,0.4197,35,11.0,14.0,3.0
31,5350033.00,2021S05075350033.00,33.0,0.3196,35,8.0,11.0,3.0
32,5350035.00,2021S05075350035.00,35.0,0.6627,35,11.0,13.0,2.0
33,5350036.00,2021S05075350036.00,36.0,0.3834,35,12.0,15.0,3.0
34,5350037.00,2021S05075350037.00,37.0,0.451,35,12.0,14.0,2.0
35,5350038.00,2021S05075350038.00,38.0,0.3662,35,10.0,11.0,1.0
36,5350039.00,2021S05075350039.00,39.0,0.3177,35,9.0,10.0,1.0
37,5350040.00,2021S05075350040.00,40.0,0.3687,35,6.0,9.0,3.0
38,5350041.00,2021S05075350041.00,41.0,0.3171,35,9.0,11.0,2.0
39,5350042.00,2021S05075350042.00,42.0,0.4899,35,5.0,8.0,3.0
40,5350043.00,2021S05075350043.00,43.0,0.5539,35,5.0,7.0,2.0
41,5350045.00,2021S05075350045.00,45.0,0.2951,35,5.0,7.0,2.0
42,5350046.00,2021S05075350046.00,46.0,0.4227,35,4.0,6.0,2.0
43,5350048.00,2021S05075350048.00,48.0,0.3349,35,3.0,5.0,2.0
44,5350049.00,2021S05075350049.00,49.0,0.4652,35,3.0,4.0,1.0
45,5350051.00,2021S05075350051.00,51.0,0.6912,35,2.0,5.0,3.0
46,5350052.00,2021S05075350052.00,52.0,0.5005,35,4.0,6.0,2.0
47,5350053.00,2021S05075350053.00,53.0,0.6839,35,7.0,8.0,1.0
48,5350054.00,2021S05075350054.00,54.0,0.7024,35,9.0,11.0,2.0
49,5350055.00,2021S05075350055.00,55.0,0.2764,35,4.0,7.0,3.0
50,5350056.00,2021S05075350056.00,56.0,0.5095,35,8.0,11.0,3.0
51,5350057.00,2021S05075350057.00,57.0,0.2664,35,11.0,12.0,1.0
52,5350058.00,2021S05075350058.00,58.0,0.3841,35,9.0,10.0,1.0
53,5350059.00,2021S05075350059.00,59.0,0.3666,35,12.0,14.0,2.0
54,5350060.00,2021S05075350060.00,60.0,0.2716,35,11.0,13.0,2.0
55,5350061.00,2021S05075350061.00,61.0,0.7673,35,11.0,12.0,1.0
56,5350064.00,2021S05075350064.00,64.0,0.1947,35,8.0,9.0,1.0
57,5350066.00,2021S05075350066.00,66.0,0.3285,35,11.0,12.0,1.0
58,5350067.00,2021S05075350067.00,67.0,0.6514,35,1.0,2.0,1.0
59,5350068.00,2021S05075350068.00,68.0,0.4175,35,6.0,7.0,1.0
60,5350069.00,2021S05075350069.00,69.0,0.8625,35,2.0,3.0,1.0
61,5350070.00,2021S05075350070.00,70.0,0.4435,35,4.0,5.0,1.0
62,5350071.00,2021S05075350071.00,71.0,0.464,35,2.0,4.0,2.0
63,5350073.00,2021S05075350073.00,73.0,0.3507,35,1.0,4.0,3.0
