CTUID,AREA_NAME
5350128.04,South Eglinton-Davisville
5350363.06,Woburn North
5350363.07,Woburn North
5350378.23,Agincourt North
5350378.24,Agincourt North
5350010.01,West Queen West
5350010.02,West Queen West
5350001.00,South Riverdale
5350002.00,St Lawrence-East Bayfront-The Islands
5350003.00,South Parkdale
5350004.00,South Parkdale
5350005.00,South Parkdale
5350006.00,South Parkdale
5350009.00,West Queen West
5350014.00,Yonge-Bay Corridor
5350015.00,Downtown Yonge East
5350016.00,Moss Park
5350018.00,South Riverdale
5350019.00,South Riverdale
5350020.00,The Beaches
5350021.00,The Beaches
5350022.00,The Beaches
5350023.00,The Beaches
5350024.00,The Beaches
5350025.00,Woodbine Corridor
5350026.00,Greenwood-Coxwell
5350027.00,South Riverdale
5350029.00,South Riverdale
5350030.00,Regent Park
5350031.00,Regent Park
5350032.00,Moss Park
5350033.00,Moss Park
5350035.00,Yonge-Bay Corridor
5350036.00,Kensington-Chinatown
5350037.00,Kensington-Chinatown
5350038.00,Kensington-Chinatown
5350039.00,Kensington-Chinatown
5350040.00,Trinity-Bellwoods
5350041.00,Trinity-Bellwoods
5350042.00,Trinity-Bellwoods
5350043.00,Trinity-Bellwoods
5350045.00,Little Portugal
5350046.00,Little Portugal
5350048.00,Roncesvalles
5350049.00,High Park-Swansea
5350051.00,High Park-Swansea
5350052.00,Roncesvalles
5350053.00,Dufferin Grove
5350054.00,Dufferin Grove
5350055.00,Palmerston-Little Italy
5350056.00,Palmerston-Little Italy
5350057.00,Palmerston-Little Italy
5350058.00,Palmerston-Little Italy
5350059.00,University
5350060.00,University
5350061.00,University
5350064.00,North St.James Town
5350066.00,Cabbagetown-South St.James Town
5350067.00,Cabbagetown-South St.James Town
5350068.00,Cabbagetown-South St.James Town
5350069.00,North Riverdale
5350070.00,North Riverdale
5350071.00,North Riverdale
5350073.00,South Riverdale
5350074.00,Greenwood-Coxwell
5350075.00,Greenwood-Coxwell
5350076.00,Woodbine Corridor
5350077.00,Woodbine Corridor
5350078.00,East End-Danforth
5350079.00,East End-Danforth
5350081.00,Danforth
5350082.00,Danforth
5350083.00,Danforth
5350084.00,Playter Estates-Danforth
5350085.00,Playter Estates-Danforth
5350086.00,Rosedale-Moore Park
5350087.00,Rosedale-Moore Park
5350088.00,Rosedale-Moore Park
5350089.00,Annex
5350090.00,Annex
5350092.00,Annex
5350093.00,Annex
5350094.00,Dovercourt Village
5350095.00,Dovercourt Village
5350098.00,Junction-Wallace Emerson
5350099.00,High Park North
5350100.00,Junction Area
5350101.00,Junction Area
5350103.00,High Park North
5350104.00,Runnymede-Bloor West Village
5350105.00,Junction Area
5350106.00,Junction Area
5350107.00,Weston-Pelham Park
5350108.00,Weston-Pelham Park
5350109.00,Junction-Wallace Emerson
5350110.00,Corso Italia-Davenport
5350111.00,Corso Italia-Davenport
5350112.00,Corso Italia-Davenport
5350113.00,Corso Italia-Davenport
5350114.00,Wychwood
5350115.00,Wychwood
5350116.00,Wychwood
5350117.00,Casa Loma
5350118.00,Casa Loma
5350119.00,Casa Loma
5350120.00,Yonge-St.Clair
5350121.00,Yonge-St.Clair
5350122.00,Yonge-St.Clair
5350123.00,Yonge-St.Clair
5350124.00,Rosedale-Moore Park
5350125.00,Rosedale-Moore Park
5350126.00,Mount Pleasant East
5350127.00,Mount Pleasant East
5350129.00,Yonge-Eglinton
5350130.00,Forest Hill South
5350131.00,Forest Hill South
5350132.00,Forest Hill North
5350133.00,Forest Hill North
5350134.00,Lawrence Park South
5350135.00,Yonge-Eglinton
5350137.00,Mount Pleasant East
5350138.00,Lawrence Park South
5350140.00,Lawrence Park South
5350142.00,Lawrence Park North
5350150.00,Lambton Baby Point
5350151.00,Lambton Baby Point
5350152.00,Runnymede-Bloor West Village
5350153.00,Rockcliffe-Smythe
5350154.00,Rockcliffe-Smythe
5350155.00,Rockcliffe-Smythe
5350157.00,Mount Dennis
5350158.00,Keelesdale-Eglinton West
5350160.00,Caledonia-Fairbank
5350161.00,Caledonia-Fairbank
5350162.00,Oakwood Village
5350163.00,Oakwood Village
5350164.00,Oakwood Village
5350165.00,Humewood-Cedarvale
5350166.00,Humewood-Cedarvale
5350168.00,Oakwood Village
5350170.00,Briar Hill-Belgravia
5350171.00,Beechborough-Greenbrook
5350172.00,Beechborough-Greenbrook
5350173.00,Mount Dennis
5350174.00,Mount Dennis
5350176.00,Weston
5350180.00,Taylor-Massey
5350182.00,Danforth East York
5350186.00,Leaside-Bennington
5350187.00,Old East York
5350188.00,Old East York
5350189.00,O'Connor-Parkview
5350191.00,O'Connor-Parkview
5350192.00,O'Connor-Parkview
5350193.00,O'Connor-Parkview
5350201.00,Mimico-Queensway
5350202.00,Mimico-Queensway
5350203.00,Mimico-Queensway
