CTUID,Manufacturing and Warehousing_before,Manufacturing and Warehousing_after,Manufacturing and Warehousing_absolute_difference,Retail_before,Retail_after,Retail_absolute_difference,Service_before,Service_after,Service_absolute_difference,Office_before,Office_after,Office_absolute_difference,Institutional_before,Institutional_after,Institutional_absolute_difference,Community and Entertainment_before,Community and Entertainment_after,Community and Entertainment_absolute_difference,Grand Total_before,Grand Total_after,Grand Total_absolute_difference
5350003.00,61.0,61.0,0.0,1402.0,1402.0,0.0,1793.0,1793.0,0.0,2986.0,2986.0,0.0,2852.0,2852.0,0.0,330.0,330.0,0.0,9424.0,9424.0,0.0
5350004.00,1625.0,1625.0,0.0,5576.0,5576.0,0.0,7375.0,7375.0,0.0,20751.0,20751.0,0.0,9202.0,9202.0,0.0,1457.0,1457.0,0.0,45986.0,45986.0,0.0
5350005.00,2459.0,2459.0,0.0,7573.0,7573.0,0.0,12264.0,12264.0,0.0,31323.0,31323.0,0.0,10430.0,10430.0,0.0,4003.0,4003.0,0.0,68052.0,68052.0,0.0
5350006.00,2139.0,2139.0,0.0,6665.0,6665.0,0.0,10770.0,10770.0,0.0,29988.0,29988.0,0.0,9566.0,9566.0,0.0,2095.0,2095.0,0.0,61223.0,61223.0,0.0
5350007.01,1981.0,2139.0,158.0,6355.0,6543.0,188.0,10410.0,10639.0,229.0,29597.0,29851.0,254.0,8772.0,8970.0,198.0,2001.0,2012.0,11.0,59116.0,60154.0,1038.0
5350007.02,2409.0,2409.0,0.0,7625.0,7625.0,0.0,12276.0,12276.0,0.0,22713.0,22713.0,0.0,10670.0,10670.0,0.0,3377.0,3377.0,0.0,59070.0,59070.0,0.0
5350008.01,1431.0,1431.0,0.0,7073.0,7073.0,0.0,13336.0,13336.0,0.0,64797.0,64797.0,0.0,10157.0,10157.0,0.0,4778.0,4778.0,0.0,101572.0,101572.0,0.0
5350008.02,1157.0,1157.0,0.0,4961.0,4961.0,0.0,7785.0,7785.0,0.0,26570.0,26570.0,0.0,2897.0,2897.0,0.0,1156.0,1156.0,0.0,44526.0,44526.0,0.0
5350009.00,2219.0,2380.0,161.0,9648.0,9924.0,276.0,18555.0,18937.0,382.0,80579.0,81309.0,730.0,8180.0,8519.0,339.0,5907.0,6034.0,127.0,125088.0,127103.0,2015.0
5350010.01,2050.0,2053.0,3.0,12653.0,12741.0,88.0,30236.0,30389.0,153.0,263408.0,263884.0,476.0,13951.0,14092.0,141.0,9161.0,9277.0,116.0,331459.0,332436.0,977.0
5350010.02,2857.0,2857.0,0.0,19170.0,19170.0,0.0,35946.0,35946.0,0.0,324267.0,324267.0,0.0,49284.0,49284.0,0.0,14067.0,14067.0,0.0,445591.0,445591.0,0.0
5350011.01,2799.0,2799.0,0.0,18662.0,18662.0,0.0,38610.0,38610.0,0.0,367504.0,367504.0,0.0,91547.0,91547.0,0.0,16170.0,16170.0,0.0,535292.0,535292.0,0.0
5350011.02,3207.0,3207.0,0.0,22298.0,22298.0,0.0,45163.0,45163.0,0.0,399022.0,399022.0,0.0,96965.0,96965.0,0.0,14346.0,14346.0,0.0,581001.0,581001.0,0.0
5350011.03,2952.0,2952.0,0.0,21105.0,21105.0,0.0,43200.0,43200.0,0.0,377442.0,377442.0,0.0,81681.0,81681.0,0.0,14576.0,14576.0,0.0,540956.0,540956.0,0.0
5350012.01,2034.0,2034.0,0.0,8501.0,8501.0,0.0,26944.0,26944.0,0.0,272350.0,272350.0,0.0,7828.0,7828.0,0.0,12692.0,12692.0,0.0,330349.0,330349.0,0.0
5350012.03,2560.0,2560.0,0.0,15214.0,15214.0,0.0,30958.0,30958.0,0.0,337813.0,337813.0,0.0,63669.0,63669.0,0.0,10366.0,10366.0,0.0,460580.0,460580.0,0.0
5350012.04,2673.0,2673.0,0.0,16786.0,16786.0,0.0,35277.0,35277.0,0.0,367246.0,367246.0,0.0,56573.0,56573.0,0.0,13358.0,13358.0,0.0,491913.0,491913.0,0.0
5350013.01,2862.0,2862.0,0.0,20428.0,20766.0,338.0,43065.0,43271.0,206.0,391568.0,392104.0,536.0,91300.0,91559.0,259.0,10654.0,10727.0,73.0,559877.0,561289.0,1412.0
5350013.02,2233.0,2233.0,0.0,16587.0,16587.0,0.0,36624.0,36624.0,0.0,342573.0,342573.0,0.0,61147.0,61147.0,0.0,13463.0,13463.0,0.0,472627.0,472627.0,0.0
5350014.00,3012.0,3014.0,2.0,21295.0,21901.0,606.0,40240.0,40965.0,725.0,274437.0,275327.0,890.0,92175.0,92867.0,692.0,15080.0,15564.0,484.0,446239.0,449638.0,3399.0
5350015.00,3169.0,3171.0,2.0,21525.0,22081.0,556.0,43696.0,44190.0,494.0,391097.0,391897.0,800.0,76597.0,77172.0,575.0,14936.0,15019.0,83.0,551020.0,553530.0,2510.0
5350016.00,2797.0,2797.0,0.0,16782.0,16782.0,0.0,35681.0,35681.0,0.0,347092.0,347092.0,0.0,58503.0,58503.0,0.0,13196.0,13196.0,0.0,474051.0,474051.0,0.0
5350017.01,1285.0,1285.0,0.0,6682.0,6682.0,0.0,15310.0,15310.0,0.0,228999.0,228999.0,0.0,6460.0,6460.0,0.0,6509.0,6509.0,0.0,265245.0,265245.0,0.0
5350017.02,2453.0,2453.0,0.0,15074.0,15074.0,0.0,30293.0,30293.0,0.0,324642.0,324642.0,0.0,54536.0,54536.0,0.0,9947.0,9947.0,0.0,436945.0,436945.0,0.0
5350018.00,2099.0,2099.0,0.0,5394.0,5394.0,0.0,7435.0,7435.0,0.0,45728.0,45728.0,0.0,8116.0,8116.0,0.0,1588.0,1588.0,0.0,70360.0,70360.0,0.0
5350019.00,2026.0,2032.0,6.0,5185.0,5270.0,85.0,6663.0,6897.0,234.0,16634.0,16780.0,146.0,7045.0,7107.0,62.0,1546.0,1598.0,52.0,39099.0,39684.0,585.0
5350020.00,453.0,457.0,4.0,2830.0,2965.0,135.0,4461.0,4666.0,205.0,5539.0,5800.0,261.0,3266.0,3657.0,391.0,1110.0,1126.0,16.0,17659.0,18671.0,1012.0
5350021.00,1536.0,1536.0,0.0,1873.0,1873.0,0.0,1585.0,1585.0,0.0,1590.0,1590.0,0.0,1463.0,1463.0,0.0,305.0,305.0,0.0,8352.0,8352.0,0.0
5350022.00,1545.0,1545.0,0.0,1627.0,1627.0,0.0,1377.0,1377.0,0.0,1345.0,1345.0,0.0,1871.0,1871.0,0.0,791.0,791.0,0.0,8556.0,8556.0,0.0
5350023.00,1602.0,1612.0,10.0,3027.0,3474.0,447.0,2432.0,3033.0,601.0,2669.0,3316.0,647.0,2480.0,3153.0,673.0,827.0,958.0,131.0,13037.0,15546.0,2509.0
5350024.00,1622.0,1626.0,4.0,2437.0,2710.0,273.0,3395.0,3667.0,272.0,2732.0,2908.0,176.0,3345.0,3441.0,96.0,776.0,820.0,44.0,14307.0,15172.0,865.0
5350025.00,1867.0,1867.0,0.0,3229.0,3229.0,0.0,4352.0,4352.0,0.0,5196.0,5196.0,0.0,3598.0,3598.0,0.0,1015.0,1015.0,0.0,19257.0,19257.0,0.0
5350026.00,1914.0,1918.0,4.0,3439.0,3574.0,135.0,5414.0,5619.0,205.0,6227.0,6488.0,261.0,3596.0,3987.0,391.0,1098.0,1114.0,16.0,21688.0,22700.0,1012.0
5350027.00,1959.0,1959.0,0.0,3815.0,3815.0,0.0,4793.0,4793.0,0.0,7394.0,7394.0,0.0,5176.0,5176.0,0.0,1159.0,1159.0,0.0,24296.0,24296.0,0.0
5350028.01,1945.0,1949.0,4.0,4817.0,5148.0,331.0,5611.0,5988.0,377.0,15803.0,16516.0,713.0,6558.0,7034.0,476.0,1137.0,1157.0,20.0,35871.0,37792.0,1921.0
5350028.02,1975.0,1975.0,0.0,4966.0,4966.0,0.0,5993.0,5993.0,0.0,15005.0,15005.0,0.0,7351.0,7351.0,0.0,1127.0,1127.0,0.0,36417.0,36417.0,0.0
5350029.00,2675.0,2690.0,15.0,12156.0,13118.0,962.0,14546.0,15985.0,1439.0,89880.0,97108.0,7228.0,56522.0,57882.0,1360.0,3429.0,3668.0,239.0,179208.0,190451.0,11243.0
5350030.00,1701.0,1701.0,0.0,13775.0,13917.0,142.0,22811.0,22845.0,34.0,247703.0,247787.0,84.0,55336.0,55510.0,174.0,8265.0,8334.0,69.0,349591.0,350094.0,503.0
5350031.00,1507.0,1507.0,0.0,13854.0,13854.0,0.0,20005.0,20005.0,0.0,131078.0,131078.0,0.0,69667.0,69667.0,0.0,8257.0,8257.0,0.0,244368.0,244368.0,0.0
5350032.00,2095.0,2095.0,0.0,18336.0,18532.0,196.0,29528.0,29700.0,172.0,328698.0,329150.0,452.0,73035.0,73120.0,85.0,9814.0,9818.0,4.0,461506.0,462415.0,909.0
