CTUID,Job_type,Time,Num_jobs
5350003.00,Manufacturing and Warehousing,before,61.0
5350004.00,Manufacturing and Warehousing,before,1625.0
5350005.00,Manufacturing and Warehousing,before,2459.0
5350006.00,Manufacturing and Warehousing,before,2139.0
5350007.01,Manufacturing and Warehousing,before,1981.0
5350007.02,Manufacturing and Warehousing,before,2409.0
5350008.01,Manufacturing and Warehousing,before,1431.0
5350008.02,Manufacturing and Warehousing,before,1157.0
5350009.00,Manufacturing and Warehousing,before,2219.0
5350010.01,Manufacturing and Warehousing,before,2050.0
5350010.02,Manufacturing and Warehousing,before,2857.0
5350011.01,Manufacturing and Warehousing,before,2799.0
5350011.02,Manufacturing and Warehousing,before,3207.0
5350011.03,Manufacturing and Warehousing,before,2952.0
5350012.01,Manufacturing and Warehousing,before,2034.0
5350012.03,Manufacturing and Warehousing,before,2560.0
5350012.04,Manufacturing and Warehousing,before,2673.0
5350013.01,Manufacturing and Warehousing,before,2862.0
5350013.02,Manufacturing and Warehousing,before,2233.0
5350014.00,Manufacturing and Warehousing,before,3012.0
5350015.00,Manufacturing and Warehousing,before,3169.0
5350016.00,Manufacturing and Warehousing,before,2797.0
5350017.01,Manufacturing and Warehousing,before,1285.0
5350017.02,Manufacturing and Warehousing,before,2453.0
5350018.00,Manufacturing and Warehousing,before,2099.0
5350019.00,Manufacturing and Warehousing,before,2026.0
5350020.00,Manufacturing and Warehousing,before,453.0
5350021.00,Manufacturing and Warehousing,before,1536.0
5350022.00,Manufacturing and Warehousing,before,1545.0
5350023.00,Manufacturing and Warehousing,before,1602.0
5350024.00,Manufacturing and Warehousing,before,1622.0
5350025.00,Manufacturing and Warehousing,before,1867.0
5350026.00,Manufacturing and Warehousing,before,1914.0
5350027.00,Manufacturing and Warehousing,before,1959.0
5350028.01,Manufacturing and Warehousing,before,1945.0
5350028.02,Manufacturing and Warehousing,before,1975.0
5350029.00,Manufacturing and Warehousing,before,2675.0
5350030.00,Manufacturing and Warehousing,before,1701.0
5350031.00,Manufacturing and Warehousing,before,1507.0
5350032.00,Manufacturing and Warehousing,before,2095.0
5350033.00,Manufacturing and Warehousing,before,2051.0
5350034.01,Manufacturing and Warehousing,before,2609.0
5350034.02,Manufacturing and Warehousing,before,3243.0
5350035.00,Manufacturing and Warehousing,before,2853.0
5350036.00,Manufacturing and Warehousing,before,3542.0
5350037.00,Manufacturing and Warehousing,before,3162.0
5350038.00,Manufacturing and Warehousing,before,2299.0
5350039.00,Manufacturing and Warehousing,before,2737.0
5350040.00,Manufacturing and Warehousing,before,2391.0
5350041.00,Manufacturing and Warehousing,before,2729.0
5350042.00,Manufacturing and Warehousing,before,2686.0
5350043.00,Manufacturing and Warehousing,before,2612.0
5350044.01,Manufacturing and Warehousing,before,1938.0
5350044.02,Manufacturing and Warehousing,before,2411.0
5350045.00,Manufacturing and Warehousing,before,1738.0
5350046.00,Manufacturing and Warehousing,before,1810.0
5350047.02,Manufacturing and Warehousing,before,1968.0
5350047.03,Manufacturing and Warehousing,before,1331.0
5350047.04,Manufacturing and Warehousing,before,1592.0
5350048.00,Manufacturing and Warehousing,before,1432.0
5350049.00,Manufacturing and Warehousing,before,856.0
5350050.01,Manufacturing and Warehousing,before,182.0
5350050.03,Manufacturing and Warehousing,before,18.0
5350050.04,Manufacturing and Warehousing,before,138.0
5350051.00,Manufacturing and Warehousing,before,1465.0
5350052.00,Manufacturing and Warehousing,before,1602.0
5350053.00,Manufacturing and Warehousing,before,1321.0
5350054.00,Manufacturing and Warehousing,before,1944.0
5350055.00,Manufacturing and Warehousing,before,1685.0
5350056.00,Manufacturing and Warehousing,before,1509.0
5350057.00,Manufacturing and Warehousing,before,236.0
5350058.00,Manufacturing and Warehousing,before,1435.0
5350059.00,Manufacturing and Warehousing,before,1969.0
5350060.00,Manufacturing and Warehousing,before,2161.0
5350061.00,Manufacturing and Warehousing,before,2569.0
5350062.01,Manufacturing and Warehousing,before,2306.0
5350062.03,Manufacturing and Warehousing,before,3078.0
5350062.04,Manufacturing and Warehousing,before,2559.0
5350063.03,Manufacturing and Warehousing,before,2243.0
5350063.04,Manufacturing and Warehousing,before,2421.0
5350063.05,Manufacturing and Warehousing,before,2464.0
5350063.06,Manufacturing and Warehousing,before,3128.0
5350064.00,Manufacturing and Warehousing,before,1769.0
5350065.01,Manufacturing and Warehousing,before,553.0
5350065.02,Manufacturing and Warehousing,before,169.0
5350066.00,Manufacturing and Warehousing,before,1638.0
5350067.00,Manufacturing and Warehousing,before,121.0
5350068.00,Manufacturing and Warehousing,before,1028.0
5350069.00,Manufacturing and Warehousing,before,664.0
5350070.00,Manufacturing and Warehousing,before,671.0
5350071.00,Manufacturing and Warehousing,before,336.0
5350072.01,Manufacturing and Warehousing,before,336.0
5350072.02,Manufacturing and Warehousing,before,288.0
5350073.00,Manufacturing and Warehousing,before,1819.0
5350074.00,Manufacturing and Warehousing,before,1869.0
5350075.00,Manufacturing and Warehousing,before,1702.0
5350076.00,Manufacturing and Warehousing,before,1550.0
5350077.00,Manufacturing and Warehousing,before,1883.0
5350078.00,Manufacturing and Warehousing,before,1773.0
5350079.00,Manufacturing and Warehousing,before,118.0
5350080.01,Manufacturing and Warehousing,before,112.0
5350080.02,Manufacturing and Warehousing,before,472.0
5350081.00,Manufacturing and Warehousing,before,1561.0
5350082.00,Manufacturing and Warehousing,before,1707.0
5350083.00,Manufacturing and Warehousing,before,408.0
