from_id,to_id,travel_time
5350003.0,5350049.0,19.0
5350004.0,5350006.0,14.0
5350004.0,5350047.04,14.0
5350004.0,5350048.0,15.0
5350004.0,5350007.01,16.0
5350004.0,5350005.0,18.0
5350004.0,5350047.02,18.0
5350004.0,5350049.0,19.0
5350004.0,5350044.02,19.0
5350005.0,5350047.02,11.0
5350005.0,5350006.0,12.0
5350005.0,5350007.01,12.0
5350005.0,5350007.02,12.0
5350005.0,5350044.02,14.0
5350005.0,5350004.0,16.0
5350005.0,5350010.01,17.0
5350005.0,5350046.0,17.0
5350005.0,5350009.0,18.0
5350005.0,5350045.0,18.0
5350005.0,5350054.0,18.0
5350005.0,5350044.01,18.0
5350005.0,5350010.02,19.0
5350005.0,5350047.04,19.0
5350005.0,5350048.0,20.0
5350006.0,5350007.01,2.0
5350006.0,5350005.0,12.0
5350006.0,5350004.0,14.0
5350006.0,5350047.02,16.0
5350006.0,5350007.02,18.0
5350006.0,5350010.01,19.0
5350006.0,5350048.0,20.0
5350006.0,5350044.02,20.0
5350007.01,5350006.0,2.0
5350007.01,5350005.0,12.0
5350007.01,5350004.0,16.0
5350007.01,5350047.02,16.0
5350007.01,5350007.02,17.0
5350007.01,5350010.01,19.0
5350007.01,5350048.0,20.0
5350007.01,5350044.02,20.0
5350007.02,5350005.0,13.0
5350007.02,5350008.01,13.0
5350007.02,5350010.01,15.0
5350007.02,5350010.02,17.0
5350007.02,5350006.0,17.0
5350007.02,5350007.01,17.0
5350007.02,5350045.0,18.0
5350007.02,5350054.0,18.0
5350007.02,5350044.01,18.0
5350007.02,5350044.02,18.0
5350007.02,5350046.0,20.0
5350008.01,5350010.01,11.0
5350008.01,5350007.02,13.0
5350008.01,5350010.02,17.0
5350008.01,5350009.0,19.0
5350008.01,5350044.02,19.0
5350008.02,5350007.02,17.0
5350008.02,5350012.01,20.0
5350009.0,5350043.0,9.0
5350009.0,5350010.01,10.0
5350009.0,5350044.02,11.0
5350009.0,5350042.0,16.0
5350009.0,5350008.01,17.0
5350009.0,5350044.01,17.0
5350009.0,5350010.02,18.0
5350009.0,5350005.0,19.0
5350009.0,5350040.0,20.0
5350009.0,5350056.0,20.0
5350010.01,5350010.02,10.0
5350010.01,5350009.0,10.0
5350010.01,5350008.01,11.0
5350010.01,5350043.0,12.0
5350010.01,5350044.02,14.0
5350010.01,5350011.01,15.0
5350010.01,5350007.02,16.0
5350010.01,5350005.0,17.0
5350010.01,5350042.0,17.0
5350010.01,5350006.0,19.0
5350010.01,5350007.01,19.0
5350010.02,5350010.01,10.0
5350010.02,5350011.01,11.0
5350010.02,5350040.0,14.0
5350010.02,5350008.01,16.0
5350010.02,5350009.0,18.0
5350010.02,5350007.02,18.0
5350010.02,5350011.02,18.0
5350010.02,5350011.03,18.0
5350010.02,5350005.0,19.0
5350010.02,5350043.0,19.0
5350010.02,5350044.02,19.0
5350010.02,5350014.0,20.0
5350011.01,5350010.02,10.0
5350011.01,5350010.01,14.0
5350011.01,5350039.0,14.0
5350011.01,5350011.03,14.0
5350011.01,5350011.02,15.0
5350011.01,5350014.0,17.0
5350011.01,5350012.01,17.0
5350011.01,5350040.0,20.0
5350011.01,5350008.01,20.0
5350011.02,5350011.03,7.0
5350011.02,5350036.0,10.0
5350011.02,5350012.03,13.0
5350011.02,5350014.0,14.0
5350011.02,5350011.01,14.0
5350011.02,5350010.02,17.0
5350011.02,5350015.0,18.0
5350011.02,5350037.0,18.0
5350011.02,5350013.01,20.0
5350011.03,5350011.02,7.0
5350011.03,5350012.03,8.0
5350011.03,5350014.0,14.0
5350011.03,5350011.01,14.0
5350011.03,5350036.0,16.0
5350011.03,5350012.04,16.0
5350011.03,5350010.02,17.0
5350011.03,5350015.0,18.0
5350011.03,5350012.01,20.0
5350011.03,5350013.01,20.0
5350012.01,5350011.01,17.0
5350012.01,5350012.03,18.0
5350012.01,5350012.04,19.0
5350012.01,5350011.03,20.0
5350012.03,5350011.03,8.0
5350012.03,5350012.04,9.0
5350012.03,5350011.02,13.0
5350012.03,5350012.01,18.0
5350012.03,5350014.0,20.0
5350012.03,5350013.02,20.0
5350012.03,5350011.01,20.0
5350012.04,5350012.03,9.0
5350012.04,5350013.02,15.0
5350012.04,5350011.03,16.0
5350012.04,5350013.01,18.0
5350012.04,5350012.01,19.0
5350013.01,5350013.02,7.0
5350013.01,5350015.0,12.0
5350013.01,5350014.0,14.0
5350013.01,5350016.0,18.0
5350013.01,5350017.02,18.0
5350013.01,5350035.0,19.0
5350013.01,5350011.03,19.0
5350013.01,5350034.02,20.0
5350013.01,5350011.02,20.0
5350013.02,5350013.01,7.0
5350013.02,5350017.02,15.0
5350013.02,5350012.04,16.0
5350013.02,5350014.0,18.0
5350013.02,5350015.0,19.0
5350014.0,5350015.0,12.0
5350014.0,5350013.01,14.0
5350014.0,5350011.02,14.0
5350014.0,5350011.03,15.0
5350014.0,5350016.0,17.0
5350014.0,5350035.0,17.0
