from_id,to_id,travel_time
5350003.0,10757635,17.0
5350004.0,10757635,16.0
5350004.0,8168605,16.0
5350005.0,8168605,13.0
5350005.0,20232082,18.0
5350005.0,10757635,19.0
5350006.0,8168605,1.0
5350007.01,8168605,4.0
5350007.02,8168605,19.0
5350007.02,20232082,20.0
5350008.01,20232082,18.0
5350009.0,20232082,3.0
5350010.01,20232082,8.0
5350010.02,20232082,17.0
5350010.02,9086232,20.0
5350011.01,9086232,20.0
5350011.02,7792695,20.0
5350013.01,773891,18.0
5350014.0,7792695,16.0
5350014.0,13498043,18.0
5350014.0,773891,18.0
5350014.0,7792696,19.0
5350014.0,7792698,19.0
5350014.0,7762671,20.0
5350015.0,773891,10.0
5350015.0,7754575,20.0
5350028.01,6388009,20.0
5350029.0,6388009,12.0
5350030.0,6388009,16.0
5350031.0,6388009,11.0
5350032.0,6388009,19.0
5350032.0,7762671,20.0
5350033.0,773891,16.0
5350034.01,7754575,12.0
5350034.01,7792696,14.0
5350034.01,7762671,14.0
5350034.01,7792529,14.0
5350034.01,773891,15.0
5350034.01,13498043,18.0
5350034.01,6522400,18.0
5350034.01,7792695,20.0
5350034.02,773891,6.0
5350034.02,7754575,17.0
5350034.02,7792696,18.0
5350034.02,7762671,18.0
5350034.02,7792529,18.0
5350034.02,7792695,19.0
5350034.02,6522400,19.0
5350035.0,7792696,7.0
5350035.0,7792529,7.0
5350035.0,7792695,9.0
5350035.0,7792698,11.0
5350035.0,7762671,11.0
5350035.0,13498043,11.0
5350035.0,773891,15.0
5350035.0,7754575,17.0
5350035.0,6522400,19.0
5350036.0,7792695,13.0
5350036.0,7792698,14.0
5350036.0,13498043,17.0
5350036.0,9942219,17.0
5350036.0,7792696,18.0
5350036.0,9086232,19.0
5350037.0,7792695,7.0
5350037.0,7792698,9.0
5350037.0,13498043,11.0
5350037.0,9942219,11.0
5350037.0,7792696,14.0
5350037.0,7792529,17.0
5350037.0,7762671,18.0
5350037.0,9086232,20.0
5350038.0,9086232,7.0
5350038.0,9942219,12.0
5350038.0,13498043,20.0
5350039.0,9086232,12.0
5350039.0,9942219,18.0
5350040.0,9086232,12.0
5350040.0,20232082,19.0
5350041.0,9086232,11.0
5350041.0,9942219,17.0
5350042.0,20232082,17.0
5350042.0,9086232,18.0
5350043.0,20232082,7.0
5350043.0,9086232,18.0
5350044.01,20232082,17.0
