CTUID,Neighbourhood,Before_After_Difference,Value
5350001.0,South Riverdale,travel_time_to_first_dest_before,73.0
5350001.0,South Riverdale,travel_time_to_first_dest_after,73.0
5350001.0,South Riverdale,travel_time_to_first_dest_reduction,0.0
5350002.0,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_before,100.0
5350002.0,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_after,100.0
5350002.0,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_reduction,0.0
5350003.0,South Parkdale,travel_time_to_first_dest_before,17.0
5350003.0,South Parkdale,travel_time_to_first_dest_after,17.0
5350003.0,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350004.0,South Parkdale,travel_time_to_first_dest_before,16.0
5350004.0,South Parkdale,travel_time_to_first_dest_after,16.0
5350004.0,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350005.0,South Parkdale,travel_time_to_first_dest_before,13.0
5350005.0,South Parkdale,travel_time_to_first_dest_after,13.0
5350005.0,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350006.0,South Parkdale,travel_time_to_first_dest_before,1.0
5350006.0,South Parkdale,travel_time_to_first_dest_after,1.0
5350006.0,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350007.01,South Parkdale,travel_time_to_first_dest_before,4.0
5350007.01,South Parkdale,travel_time_to_first_dest_after,4.0
5350007.01,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350007.02,South Parkdale,travel_time_to_first_dest_before,19.0
5350007.02,South Parkdale,travel_time_to_first_dest_after,19.0
5350007.02,South Parkdale,travel_time_to_first_dest_reduction,0.0
5350008.01,Fort York-Liberty Village,travel_time_to_first_dest_before,18.0
5350008.01,Fort York-Liberty Village,travel_time_to_first_dest_after,18.0
5350008.01,Fort York-Liberty Village,travel_time_to_first_dest_reduction,0.0
5350008.02,Fort York-Liberty Village,travel_time_to_first_dest_before,30.0
5350008.02,Fort York-Liberty Village,travel_time_to_first_dest_after,30.0
5350008.02,Fort York-Liberty Village,travel_time_to_first_dest_reduction,0.0
5350009.0,West Queen West,travel_time_to_first_dest_before,3.0
5350009.0,West Queen West,travel_time_to_first_dest_after,3.0
5350009.0,West Queen West,travel_time_to_first_dest_reduction,0.0
5350010.01,West Queen West,travel_time_to_first_dest_before,8.0
5350010.01,West Queen West,travel_time_to_first_dest_after,8.0
5350010.01,West Queen West,travel_time_to_first_dest_reduction,0.0
5350010.02,West Queen West,travel_time_to_first_dest_before,16.0
5350010.02,West Queen West,travel_time_to_first_dest_after,16.0
5350010.02,West Queen West,travel_time_to_first_dest_reduction,0.0
5350011.01,Wellington Place,travel_time_to_first_dest_before,20.0
5350011.01,Wellington Place,travel_time_to_first_dest_after,20.0
5350011.01,Wellington Place,travel_time_to_first_dest_reduction,0.0
5350011.02,Wellington Place,travel_time_to_first_dest_before,19.0
5350011.02,Wellington Place,travel_time_to_first_dest_after,19.0
5350011.02,Wellington Place,travel_time_to_first_dest_reduction,0.0
5350011.03,Wellington Place,travel_time_to_first_dest_before,21.0
5350011.03,Wellington Place,travel_time_to_first_dest_after,21.0
5350011.03,Wellington Place,travel_time_to_first_dest_reduction,0.0
5350012.01,Harbourfront-CityPlace,travel_time_to_first_dest_before,26.0
5350012.01,Harbourfront-CityPlace,travel_time_to_first_dest_after,26.0
5350012.01,Harbourfront-CityPlace,travel_time_to_first_dest_reduction,0.0
5350012.03,Harbourfront-CityPlace,travel_time_to_first_dest_before,25.0
5350012.03,Harbourfront-CityPlace,travel_time_to_first_dest_after,25.0
5350012.03,Harbourfront-CityPlace,travel_time_to_first_dest_reduction,0.0
5350012.04,Harbourfront-CityPlace,travel_time_to_first_dest_before,23.0
5350012.04,Harbourfront-CityPlace,travel_time_to_first_dest_after,23.0
5350012.04,Harbourfront-CityPlace,travel_time_to_first_dest_reduction,0.0
5350013.01,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_before,18.0
5350013.01,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_after,18.0
5350013.01,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_reduction,0.0
5350013.02,St Lawrence-East Bayfront-The Islands,travel_time_to_first_dest_before,22.0
