CTUID,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350128.04,3,5,2
5350363.06,2,5,3
5350363.07,2,4,2
5350378.23,0,1,1
5350378.24,0,2,2
5350010.01,4,7,3
5350010.02,5,6,1
5350001.00,0,1,1
5350002.00,0,1,1
5350003.00,2,5,3
5350004.00,3,4,1
5350005.00,3,6,3
5350006.00,3,5,2
5350009.00,4,6,2
5350014.00,5,6,1
5350015.00,5,6,1
5350016.00,5,8,3
5350018.00,1,2,1
5350019.00,1,3,2
5350020.00,0,1,1
5350021.00,0,1,1
5350022.00,0,3,3
5350023.00,0,3,3
5350024.00,0,3,3
5350025.00,0,1,1
5350026.00,1,2,1
5350027.00,1,3,2
5350029.00,2,3,1
5350030.00,3,4,1
5350031.00,5,6,1
5350032.00,5,7,2
5350033.00,5,8,3
5350035.00,5,6,1
5350036.00,5,6,1
5350037.00,5,7,2
5350038.00,5,8,3
5350039.00,5,6,1
5350040.00,5,6,1
5350041.00,5,7,2
5350042.00,5,8,3
5350043.00,5,6,1
5350045.00,5,7,2
5350046.00,4,5,1
5350048.00,3,5,2
5350049.00,3,5,2
5350051.00,2,4,2
5350052.00,4,7,3
5350053.00,5,8,3
5350054.00,5,8,3
5350055.00,4,6,2
5350056.00,5,8,3
5350057.00,5,8,3
5350058.00,5,7,2
5350059.00,5,7,2
5350060.00,5,6,1
5350061.00,5,8,3
5350064.00,5,6,1
5350066.00,5,7,2
5350067.00,1,2,1
5350068.00,5,7,2
5350069.00,2,3,1
5350070.00,4,5,1
5350071.00,2,5,3
5350073.00,1,4,3
5350074.00,2,5,3
5350075.00,2,3,1
5350076.00,1,3,2
5350077.00,2,4,2
5350078.00,0,2,2
5350079.00,0,1,1
5350081.00,2,3,1
5350082.00,4,7,3
5350083.00,4,5,1
5350084.00,4,5,1
5350085.00,4,5,1
5350086.00,1,4,3
5350087.00,2,4,2
5350088.00,5,7,2
5350089.00,5,6,1
5350090.00,5,8,3
5350092.00,5,6,1
5350093.00,5,8,3
5350094.00,4,7,3
5350095.00,3,4,1
5350098.00,1,3,2
5350099.00,2,3,1
5350100.00,1,3,2
5350101.00,1,4,3
5350103.00,1,2,1
5350104.00,1,3,2
5350105.00,1,2,1
5350106.00,1,3,2
5350107.00,1,2,1
5350108.00,0,1,1
5350109.00,0,2,2
5350110.00,0,3,3
5350111.00,0,2,2
5350112.00,0,1,1
5350113.00,1,2,1
5350114.00,1,4,3
5350115.00,3,4,1
5350116.00,1,4,3
5350117.00,5,7,2
5350118.00,3,4,1
5350119.00,5,7,2
5350120.00,5,8,3
5350121.00,5,6,1
5350122.00,2,3,1
5350123.00,2,4,2
5350124.00,5,7,2
5350125.00,2,3,1
5350126.00,0,1,1
5350127.00,4,6,2
5350129.00,2,4,2
5350130.00,0,1,1
5350131.00,1,4,3
5350132.00,0,3,3
5350133.00,1,2,1
5350134.00,0,2,2
5350135.00,0,3,3
5350137.00,0,2,2
5350138.00,1,2,1
5350140.00,0,3,3
5350142.00,1,3,2
5350150.00,1,4,3
5350151.00,1,4,3
5350152.00,1,2,1
5350153.00,2,4,2
5350154.00,1,3,2
5350155.00,0,2,2
5350157.00,3,5,2
5350158.00,1,3,2
5350160.00,0,3,3
5350161.00,0,3,3
5350162.00,1,4,3
5350163.00,0,2,2
5350164.00,1,4,3
5350165.00,1,4,3
5350166.00,1,2,1
5350168.00,1,4,3
5350170.00,1,4,3
5350171.00,1,3,2
5350172.00,1,3,2
5350173.00,1,3,2
5350174.00,1,3,2
5350176.00,0,2,2
5350180.00,1,2,1
5350182.00,1,4,3
5350186.00,0,1,1
5350187.00,1,3,2
5350188.00,1,3,2
5350189.00,0,2,2
5350191.00,0,1,1
5350192.00,1,4,3
5350193.00,0,3,3
5350201.00,0,1,1
5350202.00,0,1,1
5350203.00,0,3,3
5350204.00,0,1,1
5350205.00,0,2,2
5350207.00,0,1,1
5350208.00,0,1,1
5350209.00,0,3,3
5350211.00,0,1,1
5350212.00,0,3,3
5350214.00,0,2,2
5350215.00,0,1,1
5350216.00,0,1,1
5350217.00,0,1,1
5350218.00,0,3,3
5350219.00,0,1,1
5350220.00,0,1,1
5350224.00,0,1,1
5350226.00,0,2,2
5350227.00,1,2,1
5350228.00,0,1,1
5350229.00,0,1,1
5350231.00,0,3,3
5350232.00,0,3,3
5350233.00,0,1,1
5350234.00,0,3,3
5350239.00,0,1,1
5350241.00,0,1,1
5350242.00,1,4,3
5350245.00,0,3,3
5350246.00,1,2,1
5350261.00,0,3,3
5350264.00,0,2,2
5350265.00,5,7,2
5350266.00,0,1,1
5350267.00,0,1,1
5350268.00,0,3,3
5350275.00,2,3,1
5350277.00,1,2,1
5350278.00,1,4,3
5350280.00,1,4,3
5350282.00,0,3,3
5350284.00,0,2,2
5350285.00,2,4,2
5350286.00,1,4,3
5350288.00,1,3,2
5350289.00,1,3,2
5350292.00,0,1,1
5350293.00,1,2,1
5350295.00,0,2,2
5350296.00,0,3,3
5350298.00,0,2,2
5350303.00,0,1,1
5350309.00,2,5,3
5350313.00,1,2,1
5350319.00,1,3,2
5350330.00,0,2,2
5350332.00,1,4,3
5350333.00,0,1,1
5350334.00,0,2,2
5350335.00,0,3,3
5350336.00,0,2,2
5350338.00,0,2,2
5350339.00,0,1,1
5350340.00,1,2,1
5350342.00,0,1,1
5350343.00,0,3,3
5350345.00,0,2,2
5350347.00,1,2,1
5350348.00,1,3,2
5350349.00,0,2,2
5350350.00,1,2,1
5350352.00,1,2,1
5350354.00,1,2,1
5350356.00,1,3,2
5350359.00,1,4,3
5350360.00,0,3,3
5350365.00,2,4,2
5350366.00,1,3,2
5350369.00,0,1,1
5350371.00,0,2,2
5350372.00,0,2,2
5350373.00,0,2,2
5350012.01,2,3,1
5350034.01,5,7,2
5350034.02,5,8,3
5350299.01,3,6,3
5350299.02,2,5,3
5350305.03,1,4,3
5350307.03,1,4,3
5350307.04,2,4,2
5350307.05,3,6,3
5350307.06,3,4,1
5350307.07,1,2,1
5350368.01,2,5,3
5350368.02,1,3,2
5350013.01,5,8,3
5350013.02,5,8,3
5350012.03,5,7,2
5350012.04,5,6,1
5350376.15,1,3,2
5350376.16,1,2,1
5350237.01,0,2,2
5350237.02,0,1,1
5350237.03,0,2,2
5350249.01,0,3,3
5350260.01,0,1,1
5350301.01,1,4,3
5350304.01,0,3,3
5350304.02,1,4,3
5350304.03,0,2,2
5350304.04,1,3,2
5350311.02,1,2,1
5350311.03,0,3,3
5350311.04,0,1,1
5350312.02,1,4,3
5350312.03,0,3,3
5350315.01,0,1,1
5350315.02,1,4,3
5350316.01,1,2,1
5350324.01,1,3,2
5350324.02,1,3,2
5350324.03,0,1,1
5350375.01,1,2,1
5350375.02,0,3,3
5350375.03,1,4,3
5350376.01,1,4,3
5350376.02,1,3,2
5350322.01,3,5,2
5350322.02,1,4,3
5350378.25,0,1,1
5350378.26,0,2,2
5350378.27,0,2,2
5350378.28,0,3,3
5350355.05,0,1,1
5350355.06,1,2,1
5350337.01,0,3,3
5350337.02,0,2,2
5350260.06,1,3,2
