CTUID,Neighbourhood,Timeframe,Total Destinations
5350001.00,South Riverdale,total_destinations_within_30_mins_after,0
5350001.00,South Riverdale,total_destinations_within_30_mins_before,0
5350001.00,South Riverdale,total_destinations_within_30_mins_diff,0
5350002.00,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_after,0
5350002.00,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_before,0
5350002.00,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_diff,0
5350003.00,South Parkdale,total_destinations_within_30_mins_after,2
5350003.00,South Parkdale,total_destinations_within_30_mins_before,2
5350003.00,South Parkdale,total_destinations_within_30_mins_diff,0
5350004.00,South Parkdale,total_destinations_within_30_mins_after,3
5350004.00,South Parkdale,total_destinations_within_30_mins_before,3
5350004.00,South Parkdale,total_destinations_within_30_mins_diff,0
5350005.00,South Parkdale,total_destinations_within_30_mins_after,3
5350005.00,South Parkdale,total_destinations_within_30_mins_before,3
5350005.00,South Parkdale,total_destinations_within_30_mins_diff,0
5350006.00,South Parkdale,total_destinations_within_30_mins_after,3
5350006.00,South Parkdale,total_destinations_within_30_mins_before,3
5350006.00,South Parkdale,total_destinations_within_30_mins_diff,0
5350007.01,South Parkdale,total_destinations_within_30_mins_after,3
5350007.01,South Parkdale,total_destinations_within_30_mins_before,3
5350007.01,South Parkdale,total_destinations_within_30_mins_diff,0
5350007.02,South Parkdale,total_destinations_within_30_mins_after,3
5350007.02,South Parkdale,total_destinations_within_30_mins_before,3
5350007.02,South Parkdale,total_destinations_within_30_mins_diff,0
5350008.01,Fort York-Liberty Village,total_destinations_within_30_mins_after,2
5350008.01,Fort York-Liberty Village,total_destinations_within_30_mins_before,2
5350008.01,Fort York-Liberty Village,total_destinations_within_30_mins_diff,0
5350008.02,Fort York-Liberty Village,total_destinations_within_30_mins_after,1
5350008.02,Fort York-Liberty Village,total_destinations_within_30_mins_before,1
5350008.02,Fort York-Liberty Village,total_destinations_within_30_mins_diff,0
5350009.00,West Queen West,total_destinations_within_30_mins_after,4
5350009.00,West Queen West,total_destinations_within_30_mins_before,4
5350009.00,West Queen West,total_destinations_within_30_mins_diff,0
5350010.01,West Queen West,total_destinations_within_30_mins_after,4
5350010.01,West Queen West,total_destinations_within_30_mins_before,4
5350010.01,West Queen West,total_destinations_within_30_mins_diff,0
5350010.02,West Queen West,total_destinations_within_30_mins_after,7
5350010.02,West Queen West,total_destinations_within_30_mins_before,7
5350010.02,West Queen West,total_destinations_within_30_mins_diff,0
5350011.01,Wellington Place,total_destinations_within_30_mins_after,12
5350011.01,Wellington Place,total_destinations_within_30_mins_before,12
5350011.01,Wellington Place,total_destinations_within_30_mins_diff,0
5350011.02,Wellington Place,total_destinations_within_30_mins_after,12
5350011.02,Wellington Place,total_destinations_within_30_mins_before,12
5350011.02,Wellington Place,total_destinations_within_30_mins_diff,0
5350011.03,Wellington Place,total_destinations_within_30_mins_after,12
5350011.03,Wellington Place,total_destinations_within_30_mins_before,12
5350011.03,Wellington Place,total_destinations_within_30_mins_diff,0
5350012.01,Harbourfront-CityPlace,total_destinations_within_30_mins_after,2
5350012.01,Harbourfront-CityPlace,total_destinations_within_30_mins_before,2
5350012.01,Harbourfront-CityPlace,total_destinations_within_30_mins_diff,0
5350012.03,Harbourfront-CityPlace,total_destinations_within_30_mins_after,9
5350012.03,Harbourfront-CityPlace,total_destinations_within_30_mins_before,9
5350012.03,Harbourfront-CityPlace,total_destinations_within_30_mins_diff,0
5350012.04,Harbourfront-CityPlace,total_destinations_within_30_mins_after,10
5350012.04,Harbourfront-CityPlace,total_destinations_within_30_mins_before,10
5350012.04,Harbourfront-CityPlace,total_destinations_within_30_mins_diff,0
5350013.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_after,10
5350013.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_before,10
5350013.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_diff,0
5350013.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_after,9
5350013.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_before,9
5350013.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_diff,0
5350014.00,Yonge-Bay Corridor,total_destinations_within_30_mins_after,11
5350014.00,Yonge-Bay Corridor,total_destinations_within_30_mins_before,11
5350014.00,Yonge-Bay Corridor,total_destinations_within_30_mins_diff,0
5350015.00,Downtown Yonge East,total_destinations_within_30_mins_after,11
5350015.00,Downtown Yonge East,total_destinations_within_30_mins_before,11
5350015.00,Downtown Yonge East,total_destinations_within_30_mins_diff,0
5350016.00,Moss Park,total_destinations_within_30_mins_after,5
5350016.00,Moss Park,total_destinations_within_30_mins_before,5
5350016.00,Moss Park,total_destinations_within_30_mins_diff,0
5350017.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_after,1
5350017.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_before,1
5350017.01,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_diff,0
5350017.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_after,2
5350017.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_before,2
5350017.02,St Lawrence-East Bayfront-The Islands,total_destinations_within_30_mins_diff,0
5350018.00,South Riverdale,total_destinations_within_30_mins_after,1
5350018.00,South Riverdale,total_destinations_within_30_mins_before,1
5350018.00,South Riverdale,total_destinations_within_30_mins_diff,0
5350019.00,South Riverdale,total_destinations_within_30_mins_after,1
5350019.00,South Riverdale,total_destinations_within_30_mins_before,1
5350019.00,South Riverdale,total_destinations_within_30_mins_diff,0
5350020.00,The Beaches,total_destinations_within_30_mins_after,0
5350020.00,The Beaches,total_destinations_within_30_mins_before,0
5350020.00,The Beaches,total_destinations_within_30_mins_diff,0
5350021.00,The Beaches,total_destinations_within_30_mins_after,0
5350021.00,The Beaches,total_destinations_within_30_mins_before,0
5350021.00,The Beaches,total_destinations_within_30_mins_diff,0
5350022.00,The Beaches,total_destinations_within_30_mins_after,0
5350022.00,The Beaches,total_destinations_within_30_mins_before,0
5350022.00,The Beaches,total_destinations_within_30_mins_diff,0
5350023.00,The Beaches,total_destinations_within_30_mins_after,0
5350023.00,The Beaches,total_destinations_within_30_mins_before,0
5350023.00,The Beaches,total_destinations_within_30_mins_diff,0
5350024.00,The Beaches,total_destinations_within_30_mins_after,0
5350024.00,The Beaches,total_destinations_within_30_mins_before,0
5350024.00,The Beaches,total_destinations_within_30_mins_diff,0
5350025.00,Woodbine Corridor,total_destinations_within_30_mins_after,0
