CTUID,Neighbourhood,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350128.04,South Eglinton-Davisville,3,3,0
5350363.06,Woburn North,2,2,0
5350363.07,Woburn North,2,2,0
5350378.23,Agincourt North,0,0,0
5350378.24,Agincourt North,0,0,0
5350010.01,West Queen West,4,4,0
5350010.02,West Queen West,7,7,0
5350001.00,South Riverdale,0,0,0
5350002.00,St Lawrence-East Bayfront-The Islands,0,0,0
5350003.00,South Parkdale,2,2,0
5350004.00,South Parkdale,3,3,0
5350005.00,South Parkdale,3,3,0
5350006.00,South Parkdale,3,3,0
5350009.00,West Queen West,4,4,0
5350014.00,Yonge-Bay Corridor,11,11,0
5350015.00,Downtown Yonge East,11,11,0
5350016.00,Moss Park,5,5,0
5350018.00,South Riverdale,1,1,0
5350019.00,South Riverdale,1,1,0
5350020.00,The Beaches,0,0,0
5350021.00,The Beaches,0,0,0
5350022.00,The Beaches,0,0,0
5350023.00,The Beaches,0,0,0
5350024.00,The Beaches,0,0,0
5350025.00,Woodbine Corridor,0,0,0
5350026.00,Greenwood-Coxwell,1,1,0
5350027.00,South Riverdale,1,1,0
5350029.00,South Riverdale,2,2,0
5350030.00,Regent Park,3,3,0
5350031.00,Regent Park,10,10,0
5350032.00,Moss Park,11,11,0
5350033.00,Moss Park,8,8,0
5350035.00,Yonge-Bay Corridor,11,11,0
5350036.00,Kensington-Chinatown,12,12,0
5350037.00,Kensington-Chinatown,12,12,0
5350038.00,Kensington-Chinatown,9,10,1
5350039.00,Kensington-Chinatown,9,9,0
5350040.00,Trinity-Bellwoods,6,6,0
5350041.00,Trinity-Bellwoods,9,9,0
5350042.00,Trinity-Bellwoods,4,5,1
5350043.00,Trinity-Bellwoods,5,5,0
5350045.00,Little Portugal,5,5,0
5350046.00,Little Portugal,4,4,0
5350048.00,Roncesvalles,3,3,0
5350049.00,High Park-Swansea,3,3,0
5350051.00,High Park-Swansea,2,2,0
5350052.00,Roncesvalles,4,4,0
5350053.00,Dufferin Grove,4,7,3
5350054.00,Dufferin Grove,4,9,5
5350055.00,Palmerston-Little Italy,2,4,2
5350056.00,Palmerston-Little Italy,5,8,3
5350057.00,Palmerston-Little Italy,3,11,8
5350058.00,Palmerston-Little Italy,9,9,0
5350059.00,University,11,12,1
5350060.00,University,10,11,1
5350061.00,University,11,11,0
5350064.00,North St.James Town,8,8,0
5350066.00,Cabbagetown-South St.James Town,11,11,0
5350067.00,Cabbagetown-South St.James Town,1,1,0
5350068.00,Cabbagetown-South St.James Town,6,6,0
5350069.00,North Riverdale,1,2,1
5350070.00,North Riverdale,2,4,2
5350071.00,North Riverdale,1,2,1
5350073.00,South Riverdale,1,1,0
5350074.00,Greenwood-Coxwell,2,2,0
5350075.00,Greenwood-Coxwell,1,2,1
5350076.00,Woodbine Corridor,1,1,0
5350077.00,Woodbine Corridor,1,2,1
5350078.00,East End-Danforth,0,0,0
5350079.00,East End-Danforth,0,0,0
5350081.00,Danforth,1,2,1
5350082.00,Danforth,1,4,3
5350083.00,Danforth,1,4,3
5350084.00,Playter Estates-Danforth,2,4,2
5350085.00,Playter Estates-Danforth,2,4,2
5350086.00,Rosedale-Moore Park,1,1,0
5350087.00,Rosedale-Moore Park,2,2,0
5350088.00,Rosedale-Moore Park,9,11,2
5350089.00,Annex,9,11,2
5350090.00,Annex,8,8,0
5350092.00,Annex,8,9,1
