CTUID,Neighbourhood,Timeframe,Total Destinations
5350001.00,South Riverdale,first_destination_travel_time_after,0
5350001.00,South Riverdale,first_destination_travel_time_before,3
5350001.00,South Riverdale,first_destination_travel_time_diff,0
5350002.00,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_after,0
5350002.00,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_before,9
5350002.00,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_diff,0
5350003.00,South Parkdale,first_destination_travel_time_after,2
5350003.00,South Parkdale,first_destination_travel_time_before,12
5350003.00,South Parkdale,first_destination_travel_time_diff,0
5350004.00,South Parkdale,first_destination_travel_time_after,3
5350004.00,South Parkdale,first_destination_travel_time_before,9
5350004.00,South Parkdale,first_destination_travel_time_diff,0
5350005.00,South Parkdale,first_destination_travel_time_after,3
5350005.00,South Parkdale,first_destination_travel_time_before,4
5350005.00,South Parkdale,first_destination_travel_time_diff,0
5350006.00,South Parkdale,first_destination_travel_time_after,3
5350006.00,South Parkdale,first_destination_travel_time_before,11
5350006.00,South Parkdale,first_destination_travel_time_diff,0
5350007.01,South Parkdale,first_destination_travel_time_after,3
5350007.01,South Parkdale,first_destination_travel_time_before,13
5350007.01,South Parkdale,first_destination_travel_time_diff,0
5350007.02,South Parkdale,first_destination_travel_time_after,3
5350007.02,South Parkdale,first_destination_travel_time_before,9
5350007.02,South Parkdale,first_destination_travel_time_diff,0
5350008.01,Fort York-Liberty Village,first_destination_travel_time_after,2
5350008.01,Fort York-Liberty Village,first_destination_travel_time_before,4
5350008.01,Fort York-Liberty Village,first_destination_travel_time_diff,0
5350008.02,Fort York-Liberty Village,first_destination_travel_time_after,1
5350008.02,Fort York-Liberty Village,first_destination_travel_time_before,5
5350008.02,Fort York-Liberty Village,first_destination_travel_time_diff,0
5350009.00,West Queen West,first_destination_travel_time_after,4
5350009.00,West Queen West,first_destination_travel_time_before,12
5350009.00,West Queen West,first_destination_travel_time_diff,0
5350010.01,West Queen West,first_destination_travel_time_after,4
5350010.01,West Queen West,first_destination_travel_time_before,9
5350010.01,West Queen West,first_destination_travel_time_diff,0
5350010.02,West Queen West,first_destination_travel_time_after,7
5350010.02,West Queen West,first_destination_travel_time_before,8
5350010.02,West Queen West,first_destination_travel_time_diff,0
5350011.01,Wellington Place,first_destination_travel_time_after,12
5350011.01,Wellington Place,first_destination_travel_time_before,13
5350011.01,Wellington Place,first_destination_travel_time_diff,0
5350011.02,Wellington Place,first_destination_travel_time_after,12
5350011.02,Wellington Place,first_destination_travel_time_before,15
5350011.02,Wellington Place,first_destination_travel_time_diff,0
