CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350128.04,South Eglinton-Davisville,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.05454295
5350128.04,South Eglinton-Davisville,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.13883659999999998
5350128.04,South Eglinton-Davisville,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.019833799999999995
5350128.04,South Eglinton-Davisville,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.07933519999999998
5350128.04,South Eglinton-Davisville,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.09421055
5350363.06,Woburn North,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.11404434999999999
5350363.06,Woburn North,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.15371194999999999
5350363.06,Woburn North,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.09421055
5350363.06,Woburn North,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.07933519999999998
5350363.06,Woburn North,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.014875349999999997
5350363.07,Woburn North,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.12396125
5350363.07,Woburn North,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.16362885
5350363.07,Woburn North,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350363.07,Woburn North,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.0892521
5350363.07,Woburn North,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.034709149999999994
5350378.23,Agincourt North,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.11900279999999998
5350378.23,Agincourt North,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.15867039999999996
5350378.23,Agincourt North,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.09916900000000001
5350378.23,Agincourt North,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.08429364999999998
5350378.23,Agincourt North,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.029750699999999995
5350378.24,Agincourt North,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.12396125
5350378.24,Agincourt North,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.16362885
5350378.24,Agincourt North,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.10412745
5350378.24,Agincourt North,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.0892521
5350378.24,Agincourt North,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.034709149999999994
5350010.01,West Queen West,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.034709149999999994
5350010.01,West Queen West,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.0892521
5350010.01,West Queen West,Environmental,CO2 Emission (Driving),0,Yonge-Eglinton Centre,before,0.08429364999999998
5350010.01,West Queen West,Environmental,CO2 Emission (Driving),0,North York Centre,before,0.1289197
5350010.01,West Queen West,Environmental,CO2 Emission (Driving),0,Scarborough Centre,before,0.11900279999999998
5350010.02,West Queen West,Environmental,CO2 Emission (Driving),0,Downtown Toronto,before,0.029750699999999995
5350010.02,West Queen West,Environmental,CO2 Emission (Driving),0,Etobicoke Centre,before,0.09916900000000001
