CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350128.04,South Eglinton-Davisville,Economic,Travel Time to Key Work Locations,32.0,Downtown Toronto,before,32.0
5350128.04,South Eglinton-Davisville,Economic,Travel Time to Key Work Locations,58.0,Etobicoke Centre,before,58.0
5350128.04,South Eglinton-Davisville,Economic,Travel Time to Key Work Locations,17.0,Yonge-Eglinton Centre,before,17.0
5350128.04,South Eglinton-Davisville,Economic,Travel Time to Key Work Locations,31.0,North York Centre,before,31.0
5350128.04,South Eglinton-Davisville,Economic,Travel Time to Key Work Locations,77.0,Scarborough Centre,before,77.0
5350363.06,Woburn North,Economic,Travel Time to Key Work Locations,82.0,Downtown Toronto,before,82.0
5350363.06,Woburn North,Economic,Travel Time to Key Work Locations,95.0,Etobicoke Centre,before,95.0
5350363.06,Woburn North,Economic,Travel Time to Key Work Locations,76.0,Yonge-Eglinton Centre,before,76.0
5350363.06,Woburn North,Economic,Travel Time to Key Work Locations,73.0,North York Centre,before,73.0
5350363.06,Woburn North,Economic,Travel Time to Key Work Locations,18.0,Scarborough Centre,before,18.0
5350363.07,Woburn North,Economic,Travel Time to Key Work Locations,86.0,Downtown Toronto,before,86.0
5350363.07,Woburn North,Economic,Travel Time to Key Work Locations,99.0,Etobicoke Centre,before,99.0
5350363.07,Woburn North,Economic,Travel Time to Key Work Locations,79.0,Yonge-Eglinton Centre,before,79.0
5350363.07,Woburn North,Economic,Travel Time to Key Work Locations,76.0,North York Centre,before,76.0
5350363.07,Woburn North,Economic,Travel Time to Key Work Locations,32.0,Scarborough Centre,before,32.0
5350378.23,Agincourt North,Economic,Travel Time to Key Work Locations,90.0,Downtown Toronto,before,90.0
5350378.23,Agincourt North,Economic,Travel Time to Key Work Locations,104.0,Etobicoke Centre,before,104.0
5350378.23,Agincourt North,Economic,Travel Time to Key Work Locations,83.0,Yonge-Eglinton Centre,before,83.0
5350378.23,Agincourt North,Economic,Travel Time to Key Work Locations,71.0,North York Centre,before,71.0
5350378.23,Agincourt North,Economic,Travel Time to Key Work Locations,33.0,Scarborough Centre,before,33.0
5350378.24,Agincourt North,Economic,Travel Time to Key Work Locations,96.0,Downtown Toronto,before,96.0
5350378.24,Agincourt North,Economic,Travel Time to Key Work Locations,109.0,Etobicoke Centre,before,109.0
5350378.24,Agincourt North,Economic,Travel Time to Key Work Locations,85.0,Yonge-Eglinton Centre,before,85.0
5350378.24,Agincourt North,Economic,Travel Time to Key Work Locations,74.0,North York Centre,before,74.0
5350378.24,Agincourt North,Economic,Travel Time to Key Work Locations,38.0,Scarborough Centre,before,38.0
5350010.01,West Queen West,Economic,Travel Time to Key Work Locations,35.0,Downtown Toronto,before,35.0
5350010.01,West Queen West,Economic,Travel Time to Key Work Locations,47.0,Etobicoke Centre,before,47.0
5350010.01,West Queen West,Economic,Travel Time to Key Work Locations,43.0,Yonge-Eglinton Centre,before,43.0
5350010.01,West Queen West,Economic,Travel Time to Key Work Locations,57.0,North York Centre,before,57.0
5350010.01,West Queen West,Economic,Travel Time to Key Work Locations,85.0,Scarborough Centre,before,85.0
5350010.02,West Queen West,Economic,Travel Time to Key Work Locations,30.0,Downtown Toronto,before,30.0
5350010.02,West Queen West,Economic,Travel Time to Key Work Locations,52.0,Etobicoke Centre,before,52.0
5350010.02,West Queen West,Economic,Travel Time to Key Work Locations,40.0,Yonge-Eglinton Centre,before,40.0
5350010.02,West Queen West,Economic,Travel Time to Key Work Locations,55.0,North York Centre,before,55.0
5350010.02,West Queen West,Economic,Travel Time to Key Work Locations,88.0,Scarborough Centre,before,88.0
5350001.0,South Riverdale,Economic,Travel Time to Key Work Locations,73.0,Downtown Toronto,before,73.0
5350001.0,South Riverdale,Economic,Travel Time to Key Work Locations,109.0,Etobicoke Centre,before,109.0
5350001.0,South Riverdale,Economic,Travel Time to Key Work Locations,81.0,Yonge-Eglinton Centre,before,81.0
5350001.0,South Riverdale,Economic,Travel Time to Key Work Locations,96.0,North York Centre,before,96.0
5350001.0,South Riverdale,Economic,Travel Time to Key Work Locations,,Scarborough Centre,before,
5350002.0,St Lawrence-East Bayfront-The Islands,Economic,Travel Time to Key Work Locations,,Downtown Toronto,before,
5350002.0,St Lawrence-East Bayfront-The Islands,Economic,Travel Time to Key Work Locations,,Etobicoke Centre,before,
5350002.0,St Lawrence-East Bayfront-The Islands,Economic,Travel Time to Key Work Locations,,Yonge-Eglinton Centre,before,
5350002.0,St Lawrence-East Bayfront-The Islands,Economic,Travel Time to Key Work Locations,,North York Centre,before,
5350002.0,St Lawrence-East Bayfront-The Islands,Economic,Travel Time to Key Work Locations,,Scarborough Centre,before,
5350003.0,South Parkdale,Economic,Travel Time to Key Work Locations,58.0,Downtown Toronto,before,58.0
5350003.0,South Parkdale,Economic,Travel Time to Key Work Locations,51.0,Etobicoke Centre,before,51.0
5350003.0,South Parkdale,Economic,Travel Time to Key Work Locations,58.0,Yonge-Eglinton Centre,before,58.0
5350003.0,South Parkdale,Economic,Travel Time to Key Work Locations,73.0,North York Centre,before,73.0
5350003.0,South Parkdale,Economic,Travel Time to Key Work Locations,101.0,Scarborough Centre,before,101.0
5350004.0,South Parkdale,Economic,Travel Time to Key Work Locations,48.0,Downtown Toronto,before,48.0
5350004.0,South Parkdale,Economic,Travel Time to Key Work Locations,46.0,Etobicoke Centre,before,46.0
5350004.0,South Parkdale,Economic,Travel Time to Key Work Locations,49.0,Yonge-Eglinton Centre,before,49.0
5350004.0,South Parkdale,Economic,Travel Time to Key Work Locations,63.0,North York Centre,before,63.0
5350004.0,South Parkdale,Economic,Travel Time to Key Work Locations,91.0,Scarborough Centre,before,91.0
5350005.0,South Parkdale,Economic,Travel Time to Key Work Locations,43.0,Downtown Toronto,before,43.0
5350005.0,South Parkdale,Economic,Travel Time to Key Work Locations,43.0,Etobicoke Centre,before,43.0
5350005.0,South Parkdale,Economic,Travel Time to Key Work Locations,44.0,Yonge-Eglinton Centre,before,44.0
5350005.0,South Parkdale,Economic,Travel Time to Key Work Locations,59.0,North York Centre,before,59.0
5350005.0,South Parkdale,Economic,Travel Time to Key Work Locations,87.0,Scarborough Centre,before,87.0
5350006.0,South Parkdale,Economic,Travel Time to Key Work Locations,46.0,Downtown Toronto,before,46.0
5350006.0,South Parkdale,Economic,Travel Time to Key Work Locations,48.0,Etobicoke Centre,before,48.0
5350006.0,South Parkdale,Economic,Travel Time to Key Work Locations,49.0,Yonge-Eglinton Centre,before,49.0
5350006.0,South Parkdale,Economic,Travel Time to Key Work Locations,64.0,North York Centre,before,64.0
5350006.0,South Parkdale,Economic,Travel Time to Key Work Locations,92.0,Scarborough Centre,before,92.0
5350009.0,West Queen West,Economic,Travel Time to Key Work Locations,36.0,Downtown Toronto,before,36.0
5350009.0,West Queen West,Economic,Travel Time to Key Work Locations,46.0,Etobicoke Centre,before,46.0
5350009.0,West Queen West,Economic,Travel Time to Key Work Locations,42.0,Yonge-Eglinton Centre,before,42.0
5350009.0,West Queen West,Economic,Travel Time to Key Work Locations,57.0,North York Centre,before,57.0
5350009.0,West Queen West,Economic,Travel Time to Key Work Locations,84.0,Scarborough Centre,before,84.0
5350014.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,13.0,Downtown Toronto,before,13.0
5350014.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,49.0,Etobicoke Centre,before,49.0
5350014.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,26.0,Yonge-Eglinton Centre,before,26.0
5350014.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,41.0,North York Centre,before,41.0
5350014.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,74.0,Scarborough Centre,before,74.0
5350015.0,Downtown Yonge East,Economic,Travel Time to Key Work Locations,16.0,Downtown Toronto,before,16.0
5350015.0,Downtown Yonge East,Economic,Travel Time to Key Work Locations,54.0,Etobicoke Centre,before,54.0
5350015.0,Downtown Yonge East,Economic,Travel Time to Key Work Locations,25.0,Yonge-Eglinton Centre,before,25.0
5350015.0,Downtown Yonge East,Economic,Travel Time to Key Work Locations,39.0,North York Centre,before,39.0
5350015.0,Downtown Yonge East,Economic,Travel Time to Key Work Locations,73.0,Scarborough Centre,before,73.0
5350016.0,Moss Park,Economic,Travel Time to Key Work Locations,26.0,Downtown Toronto,before,26.0
5350016.0,Moss Park,Economic,Travel Time to Key Work Locations,63.0,Etobicoke Centre,before,63.0
5350016.0,Moss Park,Economic,Travel Time to Key Work Locations,35.0,Yonge-Eglinton Centre,before,35.0
5350016.0,Moss Park,Economic,Travel Time to Key Work Locations,50.0,North York Centre,before,50.0
