CTUID,Neighbourhoods,Metric_Type,Metric_Name,Category,Before_After_Benefit,Value
5350001.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350001.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350001.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350002.00,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350002.00,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350002.00,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350003.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350003.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350003.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350004.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350004.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350004.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350005.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350005.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350005.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350006.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350006.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350006.00,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350007.01,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350007.01,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350007.01,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350007.02,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350007.02,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350007.02,South Parkdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350008.01,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350008.01,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350008.01,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350008.02,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350008.02,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350008.02,Fort York-Liberty Village,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350009.00,West Queen West,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350009.00,West Queen West,Social,Number of Destinations within 30 mins,Hospital,after,4.0
5350009.00,West Queen West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350010.01,West Queen West,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350010.01,West Queen West,Social,Number of Destinations within 30 mins,Hospital,after,4.0
5350010.01,West Queen West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350010.02,West Queen West,Social,Number of Destinations within 30 mins,Hospital,before,7.0
5350010.02,West Queen West,Social,Number of Destinations within 30 mins,Hospital,after,7.0
5350010.02,West Queen West,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350011.01,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,before,12.0
5350011.01,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,after,12.0
5350011.01,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350011.02,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,before,12.0
5350011.02,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,after,12.0
5350011.02,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350011.03,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,before,12.0
5350011.03,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,after,12.0
5350011.03,Wellington Place,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350012.01,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350012.01,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350012.01,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350012.03,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,before,9.0
5350012.03,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,after,9.0
5350012.03,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350012.04,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,before,10.0
5350012.04,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,after,10.0
5350012.04,Harbourfront-CityPlace,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350013.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,before,10.0
5350013.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,after,10.0
5350013.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350013.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,before,9.0
5350013.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,after,9.0
5350013.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350014.00,Yonge-Bay Corridor,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350014.00,Yonge-Bay Corridor,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350014.00,Yonge-Bay Corridor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350015.00,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350015.00,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350015.00,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350016.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,before,5.0
5350016.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,after,5.0
5350016.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350017.01,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350017.02,St Lawrence-East Bayfront-The Islands,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350018.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350018.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350018.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350019.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350019.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350019.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350020.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350020.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350020.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350021.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350021.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350021.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350022.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350022.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350022.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350023.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350023.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350023.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350024.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350024.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350024.00,The Beaches,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,before,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,after,0.0
5350025.00,Woodbine Corridor,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350026.00,Greenwood-Coxwell,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350027.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350027.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350027.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350028.01,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350028.01,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350028.01,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350028.02,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,1.0
5350028.02,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,1.0
5350028.02,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350029.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350029.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,after,2.0
5350029.00,South Riverdale,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350030.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350030.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,after,3.0
5350030.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350031.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,before,10.0
5350031.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,after,10.0
5350031.00,Regent Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350032.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350032.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350032.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350033.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,before,8.0
5350033.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,after,8.0
5350033.00,Moss Park,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350034.01,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350034.01,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350034.01,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350034.02,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,before,12.0
5350034.02,Downtown Yonge East,Social,Number of Destinations within 30 mins,Hospital,after,12.0
